status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
no checking account;18;all credits at this bank paid back duly;car (used);1049;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;greater than 7 yrs;car or other;21;none;for free;1;skilled employee/official;0 to 2;no;no;1
no checking account;9;all credits at this bank paid back duly;others;2799;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;36;none;for free;2.Mar;skilled employee/official;3 or more;no;no;1
less than 0;12;no credits taken/all credits paid back duly;retraining;841;less than 100;from 4 to 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;23;none;for free;1;unskilled - resident;0 to 2;no;no;1
no checking account;12;all credits at this bank paid back duly;others;2122;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;39;none;for free;2.Mar;unskilled - resident;3 or more;no;yes;1
no checking account;12;all credits at this bank paid back duly;others;2171;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;car or other;38;bank;rent;2.Mar;unskilled - resident;0 to 2;no;yes;1
no checking account;10;all credits at this bank paid back duly;others;2241;unknown/no savings account;less than 1 yr;greater than 35;male : married/widowed;none;from 4 to 7 yrs;unknown / no property;48;none;for free;2.Mar;unskilled - resident;3 or more;no;yes;1
no checking account;8;all credits at this bank paid back duly;others;3398;unknown/no savings account;from 4 to 7 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;unknown / no property;39;none;rent;2.Mar;unskilled - resident;0 to 2;no;yes;1
no checking account;6;all credits at this bank paid back duly;others;1361;unknown/no savings account;less than 1 yr;from 35 to 25;male : married/widowed;none;greater than 7 yrs;unknown / no property;40;none;rent;1;unskilled - resident;3 or more;no;yes;1
.greater than 200;18;all credits at this bank paid back duly;furniture/equipment;1098;unknown/no savings account;unemployed;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;65;none;rent;2.Mar;unemployed/unskilled - non-resident;0 to 2;no;no;1
less than 0;24;no credits taken/all credits paid back duly;furniture/equipment;3758;from 100 to 500;unemployed;greater than 35;female : non-single or male : single;none;greater than 7 yrs;real estate;23;none;for free;1;unemployed/unskilled - non-resident;0 to 2;no;no;1
